Date,Season,Week,Home,Visitor,HT,FT,Total Goal,Goal Difference,Result,Home Red Card,Visitor Red Card
29/09/1962,1962,4,Fatih Karagumruk,Goztepe,1-0,3-0,3,3,H,0,0
30/09/1962,1962,4,Fatih Karagumruk,Altay,1-2,1-3,4,-2,A,0,0
30/09/1962,1962,4,Beyogluspor,Goztepe,0-2,1-3,4,-2,A,0,0
30/09/1962,1962,4,Izmirspor,Besiktas,1-0,1-0,1,1,H,0,0
30/09/1962,1962,4,Altinordu,Istanbulspor,0-0,0-1,1,-1,A,0,0
06/10/1962,1962,5,Ankara Keciorengucu,MKE Ankaragucu,1-0,1-0,1,1,H,0,1
06/10/1962,1962,5,Beyogluspor,Ferikoy,1-0,1-0,1,1,H,0,0
06/10/1962,1962,5,Fenerbahce,Altinordu,1-0,1-0,1,1,H,0,0
07/10/1962,1962,5,Altay,Karsiyaka,0-0,1-0,1,1,H,0,1
07/10/1962,1962,5,Ankara Demirspor,Genclerbirligi,0-0,1-0,1,1,H,0,0
07/10/1962,1962,5,Kasimpasa,Yesildirek,1-1,1-1,2,0,D,0,0
07/10/1962,1962,5,Beykoz 1908,Fatih Karagumruk,1-0,1-0,1,1,H,0,0
13/10/1962,1962,6,Altinordu,MKE Ankaragucu,1-0,2-0,2,2,H,0,0
13/10/1962,1962,6,Fenerbahce,Vefa,1-0,4-0,4,4,H,0,0
13/10/1962,1962,6,Beyogluspor,Ankara Demirspor,1-0,3-2,5,1,H,0,0
13/10/1962,1962,6,Izmirspor,Turk Telekom,0-0,0-1,1,-1,A,0,0
14/10/1962,1962,6,Istanbulspor,Kasimpasa,1-0,1-1,2,0,D,0,0
14/10/1962,1962,6,Izmirspor,MKE Ankaragucu,0-1,1-1,2,0,D,0,1
14/10/1962,1962,6,Altinordu,Turk Telekom,0-0,2-0,2,2,H,0,0
14/10/1962,1962,6,Galatasaray,Fatih Karagumruk,0-0,1-0,1,1,H,0,0
20/10/1962,1962,7,Turanspor,Galatasaray,0-3,2-5,7,-3,A,0,0
20/10/1962,1962,7,Vefa,Turk Telekom,0-0,0-0,0,0,D,0,0
20/10/1962,1962,7,Besiktas,Ankara Keciorengucu,1-0,1-0,1,1,H,0,0
20/10/1962,1962,7,Genclerbirligi,Fatih Karagumruk,1-0,1-1,2,0,D,1,0
21/10/1962,1962,7,Turanspor,Fatih Karagumruk,2-1,2-2,4,0,D,0,0
21/10/1962,1962,7,Genclerbirligi,Galatasaray,0-1,0-3,3,-3,A,0,0
21/10/1962,1962,7,Vefa,Ankara Keciorengucu,1-0,3-1,4,2,H,0,0
21/10/1962,1962,7,Besiktas,Turk Telekom,3-0,4-2,6,2,H,0,0
